"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","get resource by ID","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_resources_api","",""
"","181","Login failures including relevant error validation","tests.ui","Tue Jan 14 18:22:36 GMT 2025","passed","Tue Jan 14 18:22:36 GMT 2025","","test_login","",""
"","46","resource not found","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_resources_api","",""
"","209","user creation api test","tests.api","Tue Jan 14 18:22:19 GMT 2025","passed","Tue Jan 14 18:22:19 GMT 2025","","test_users_api","",""
"","5233","Success login from UI","tests.ui","Tue Jan 14 18:22:27 GMT 2025","passed","Tue Jan 14 18:22:32 GMT 2025","","test_login","",""
"","234","Success login from UI","tests.ui","Tue Jan 14 18:22:25 GMT 2025","passed","Tue Jan 14 18:22:26 GMT 2025","","test_login","",""
"","206","successful login test","tests.api","Tue Jan 14 18:22:16 GMT 2025","passed","Tue Jan 14 18:22:17 GMT 2025","","test_login_api","",""
"","238","Success login from UI","tests.ui","Tue Jan 14 18:22:33 GMT 2025","passed","Tue Jan 14 18:22:33 GMT 2025","","test_login","",""
"","187","Login failures including relevant error validation","tests.ui","Tue Jan 14 18:22:35 GMT 2025","passed","Tue Jan 14 18:22:35 GMT 2025","","test_login","",""
"","224","Registration failures with relevant code reason on response","tests.api","Tue Jan 14 18:22:17 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_register_api","",""
"","130","get resource list","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_resources_api","",""
"","1421","E2E flow - purchase from UI test","tests.ui","Tue Jan 14 18:22:22 GMT 2025","passed","Tue Jan 14 18:22:23 GMT 2025","","test_e2e","",""
"","36","get resource by ID","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_resources_api","",""
"","43","get resource by ID","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_resources_api","",""
"","1301","remove item from cart full flow","tests.ui","Tue Jan 14 18:22:24 GMT 2025","passed","Tue Jan 14 18:22:25 GMT 2025","","test_e2e","",""
"","42","test_get_users[9-avatar-https://reqres.in/img/faces/9-image.jpg]","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_users_api","",""
"","40","get resource by ID","tests.api","Tue Jan 14 18:22:18 GMT 2025","failed","Tue Jan 14 18:22:18 GMT 2025","","test_resources_api","",""
"","178","Login failures including relevant error validation","tests.ui","Tue Jan 14 18:22:37 GMT 2025","passed","Tue Jan 14 18:22:37 GMT 2025","","test_login","",""
"","31","get resource by ID","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_resources_api","",""
"","36","test_get_users[1-name-george]","tests.api","Tue Jan 14 18:22:18 GMT 2025","failed","Tue Jan 14 18:22:18 GMT 2025","","test_users_api","",""
"","35","test_get_users_not_found","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_users_api","",""
"","39","test_get_users[7-last_name-Lawson]","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_users_api","",""
"","35","get resource by ID","tests.api","Tue Jan 14 18:22:18 GMT 2025","failed","Tue Jan 14 18:22:18 GMT 2025","","test_resources_api","",""
"","61","test_get_users[1-email-george.bluth@reqres.in]","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_users_api","",""
"","177","user update api test","tests.api","Tue Jan 14 18:22:19 GMT 2025","passed","Tue Jan 14 18:22:19 GMT 2025","","test_users_api","",""
"","57","test_get_users[8-last_name-bla]","tests.api","Tue Jan 14 18:22:18 GMT 2025","failed","Tue Jan 14 18:22:18 GMT 2025","","test_users_api","",""
"","210","Success login from UI","tests.ui","Tue Jan 14 18:22:34 GMT 2025","failed","Tue Jan 14 18:22:35 GMT 2025","","test_login","",""
"","225","Success login from UI","tests.ui","Tue Jan 14 18:22:26 GMT 2025","passed","Tue Jan 14 18:22:26 GMT 2025","","test_login","",""
"","179","Login failures tests including relevant errors","tests.api","Tue Jan 14 18:22:17 GMT 2025","passed","Tue Jan 14 18:22:17 GMT 2025","","test_login_api","",""
"","97","test_get_users_list","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:19 GMT 2025","","test_users_api","",""
"","205","successful registration including json validation","tests.api","Tue Jan 14 18:22:17 GMT 2025","passed","Tue Jan 14 18:22:17 GMT 2025","","test_register_api","",""
"","64","test_get_users[2-first_name-Janet]","tests.api","Tue Jan 14 18:22:18 GMT 2025","passed","Tue Jan 14 18:22:18 GMT 2025","","test_users_api","",""
"","230","Registration failures with relevant code reason on response","tests.api","Tue Jan 14 18:22:17 GMT 2025","passed","Tue Jan 14 18:22:17 GMT 2025","","test_register_api","",""
"","223","Success login from UI","tests.ui","Tue Jan 14 18:22:34 GMT 2025","passed","Tue Jan 14 18:22:34 GMT 2025","","test_login","",""
"","182","Login failures including relevant error validation","tests.ui","Tue Jan 14 18:22:37 GMT 2025","passed","Tue Jan 14 18:22:38 GMT 2025","","test_login","",""
"","193","user deletion api test","tests.api","Tue Jan 14 18:22:19 GMT 2025","passed","Tue Jan 14 18:22:19 GMT 2025","","test_users_api","",""
"","205","Login failures tests including relevant errors","tests.api","Tue Jan 14 18:22:17 GMT 2025","passed","Tue Jan 14 18:22:17 GMT 2025","","test_login_api","",""
